id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1763872,Clark 2brm fully furnished suite,1803138,MFS - Maria,,Ahuntsic-Cartierville,45.54228208180098,-73.64357108340121,Entire home/apt,90,7,2,2014-10-01,0.15,3,274
7367193,beautiful condo fully furnished,29822317,Carine,,Ahuntsic-Cartierville,45.53496740431387,-73.66666187400995,Entire home/apt,100,1,1,2015-08-02,0.48,1,365
8268284,"Magnifique 4 1/2, moderne avec cour",24230724,Lyne,,Ahuntsic-Cartierville,45.567346068900115,-73.65762299031815,Entire home/apt,125,1,0,,,1,365
3484010,Montréal en famille,14449696,France Et Philippe,,Ahuntsic-Cartierville,45.53802149960548,-73.69707484565983,Entire home/apt,100,1,1,2015-07-26,0.43,1,115
8218917,Whole apt in a duplex,7663391,Sara,,Ahuntsic-Cartierville,45.53568087460694,-73.71935726760084,Entire home/apt,98,1,1,2015-09-07,1,3,365
728677,Big house near subway,3781413,Karine,,Ahuntsic-Cartierville,45.55061858973503,-73.66430101466666,Entire home/apt,125,5,3,2015-08-09,0.41,1,288
8644483,Grande chambre  Ahuntsic Montréal,45440378,Rachel,,Ahuntsic-Cartierville,45.544241866844914,-73.64211802986486,Private room,40,1,0,,,1,90
4663019,Come and see us!!,24128291,Danièle,,Ahuntsic-Cartierville,45.54087373377776,-73.64454479687217,Entire home/apt,90,2,14,2015-09-07,2.46,1,354
8480452,Apartment on two floors Near Subway,44629285,Anna,,Ahuntsic-Cartierville,45.54819901177008,-73.6409401369739,Entire home/apt,90,3,0,,,1,351
6399518,"Clean,modern,typically Montreal",33358769,Mamadou,,Ahuntsic-Cartierville,45.53678518277916,-73.67941464904618,Private room,31,1,10,2015-09-20,5.08,1,347
